transaction_id,customer_id,amount,error_code,historical_success_rate,previous_failed_attempts,time_of_day,device_type,outcome_no_action,outcome_retry_now,outcome_retry_delayed,outcome_reminder,outcome_incentive_10
RP_36192BB1,CUST_8270,1096.88,CUSTOMER_ABANDONED,0.902,0,11,Mobile,0,0,0,0,1
RP_EF955D99,CUST_1860,4362.19,GATEWAY_TIMEOUT,0.822,1,15,Mobile,0,1,0,0,0
RP_FEE67610,CUST_6390,281.69,GATEWAY_TIMEOUT,0.926,0,0,Mobile,0,1,1,0,1
RP_13258319,CUST_6191,2727.15,CUSTOMER_ABANDONED,0.796,0,19,Mobile,0,0,0,0,1
RP_39601860,CUST_6734,2836.02,GATEWAY_TIMEOUT,0.771,0,3,Mobile,0,1,1,0,0
RP_964393FF,CUST_7265,2815.72,3D_SECURE_FAILED,0.771,0,13,Mobile,0,0,0,1,0
RP_77D644CD,CUST_1466,416.51,GATEWAY_TIMEOUT,0.707,0,17,Mobile,0,1,0,0,0
RP_08301033,CUST_5426,143.85,CUSTOMER_ABANDONED,0.672,0,4,Mobile,0,0,0,0,0
RP_4F9F7C03,CUST_6578,2146.6,INSUFFICIENT_FUNDS,0.731,0,2,Mobile,0,0,0,1,0
RP_9BE67528,CUST_9322,1373.4,CUSTOMER_ABANDONED,0.719,0,18,Mobile,0,0,0,0,0
RP_5AE3DB3C,CUST_2685,3660.12,GATEWAY_TIMEOUT,0.559,0,11,Mobile,0,0,0,0,0
RP_914A4C5D,CUST_1769,473.12,GATEWAY_TIMEOUT,0.834,0,18,Mobile,0,1,0,0,0
RP_CB939B1C,CUST_7949,2730.23,GATEWAY_TIMEOUT,0.777,0,19,Mobile,0,0,1,1,1
RP_E5523576,CUST_3433,3886.62,GATEWAY_TIMEOUT,0.562,0,10,Desktop,0,1,0,0,0
RP_1B79F3B8,CUST_6311,978.12,INSUFFICIENT_FUNDS,0.796,1,20,Mobile,0,0,0,0,0
RP_7C63B4E2,CUST_6051,1808.61,INSUFFICIENT_FUNDS,0.778,0,19,Mobile,0,0,0,1,0
RP_7D94C206,CUST_7420,1734.3,CUSTOMER_ABANDONED,0.555,0,8,Mobile,0,0,0,0,1
RP_98BD89D7,CUST_2184,409.21,CUSTOMER_ABANDONED,0.781,0,19,Mobile,0,0,0,0,1
RP_B058C247,CUST_5555,2074.17,CUSTOMER_ABANDONED,0.523,0,22,Mobile,0,0,0,0,0
RP_58F537B4,CUST_4385,7684.79,CUSTOMER_ABANDONED,0.648,0,4,Desktop,0,0,0,0,0
RP_4EDBE35C,CUST_7396,1126.25,INSUFFICIENT_FUNDS,0.848,0,9,Mobile,0,0,0,0,1
RP_97CAEF01,CUST_9666,189.97,INSUFFICIENT_FUNDS,0.637,0,8,Mobile,0,0,1,0,0
RP_6602F484,CUST_3558,480.74,INSUFFICIENT_FUNDS,0.606,0,12,Mobile,0,0,0,0,0
RP_B3E869FF,CUST_8849,129.63,CUSTOMER_ABANDONED,0.575,0,7,Desktop,0,0,0,0,1
RP_B0D46991,CUST_3047,5158.05,GATEWAY_TIMEOUT,0.725,0,21,Desktop,0,1,1,0,0
RP_7915DEBF,CUST_3747,2743.33,GATEWAY_TIMEOUT,0.748,0,12,Mobile,0,1,0,0,0
RP_049E53DE,CUST_1189,600.86,CUSTOMER_ABANDONED,0.65,0,21,Desktop,0,0,1,0,0
RP_718EB962,CUST_3734,200.0,GATEWAY_TIMEOUT,0.68,0,17,Mobile,0,1,0,0,1
RP_619A321C,CUST_4005,403.45,3D_SECURE_FAILED,0.741,0,22,Mobile,1,0,0,0,0
RP_3CCC1E5C,CUST_5658,509.83,3D_SECURE_FAILED,0.591,0,8,Mobile,0,0,0,0,0
RP_55B057EA,CUST_2899,1250.49,GATEWAY_TIMEOUT,0.84,0,8,Desktop,0,1,1,0,1
RP_0D4E82BA,CUST_8734,1201.0,GATEWAY_TIMEOUT,0.749,0,1,Mobile,0,0,0,0,0
RP_083217D6,CUST_2267,5484.7,INSUFFICIENT_FUNDS,0.564,1,6,Mobile,0,0,0,0,0
RP_B11E6783,CUST_2528,477.56,CUSTOMER_ABANDONED,0.688,0,4,Mobile,0,0,0,0,0
RP_0D144121,CUST_4556,179.5,GATEWAY_TIMEOUT,0.552,0,20,Mobile,0,0,0,0,0
RP_32DFF8CD,CUST_4890,273.59,CUSTOMER_ABANDONED,0.899,0,5,Mobile,0,0,0,1,0
RP_782F5F9D,CUST_9838,1066.75,CUSTOMER_ABANDONED,0.831,0,12,Mobile,0,0,0,1,0
RP_A857C685,CUST_6393,457.41,INSUFFICIENT_FUNDS,0.462,0,23,Mobile,0,0,1,1,0
RP_79B59AD8,CUST_9792,772.47,GATEWAY_TIMEOUT,0.761,0,17,Mobile,0,1,0,0,1
RP_38F50A53,CUST_9433,635.98,CUSTOMER_ABANDONED,0.735,0,2,Mobile,0,0,0,0,0
RP_6A2AF625,CUST_8513,3598.55,GATEWAY_TIMEOUT,0.756,0,9,Mobile,0,0,1,1,0
RP_F430B804,CUST_3612,542.2,CUSTOMER_ABANDONED,0.805,0,22,Mobile,0,0,0,1,0
RP_6C88507A,CUST_8041,697.28,INSUFFICIENT_FUNDS,0.848,0,2,Mobile,0,0,0,1,0
RP_74790397,CUST_7235,2593.44,CUSTOMER_ABANDONED,0.584,2,0,Desktop,0,0,0,1,0
RP_3D6E1283,CUST_6486,556.7,3D_SECURE_FAILED,0.709,1,5,Desktop,0,0,0,1,0
RP_7DAFB052,CUST_8099,1822.3,3D_SECURE_FAILED,0.838,2,22,Desktop,0,0,0,1,0
RP_283B2E8C,CUST_1775,1632.36,INSUFFICIENT_FUNDS,0.972,0,15,Mobile,0,0,0,0,1
RP_A539CF50,CUST_9226,1300.0,GATEWAY_TIMEOUT,0.826,1,16,Mobile,0,0,1,0,0
RP_F6D0E0FE,CUST_4152,281.1,CUSTOMER_ABANDONED,0.957,1,15,Desktop,0,0,0,1,0
RP_AEE17C7B,CUST_2585,4796.92,INSUFFICIENT_FUNDS,0.869,2,9,Mobile,0,0,0,1,1
RP_38A8EB3F,CUST_4943,15753.54,GATEWAY_TIMEOUT,0.781,0,6,Desktop,0,1,1,0,0
RP_89D7AA66,CUST_8555,1108.31,3D_SECURE_FAILED,0.483,1,7,Desktop,0,0,0,0,1
RP_096E1C49,CUST_4073,312.43,GATEWAY_TIMEOUT,0.803,0,2,Mobile,0,1,1,1,1
RP_0F7F96C6,CUST_2021,1135.61,GATEWAY_TIMEOUT,0.881,0,4,Mobile,0,1,1,0,1
RP_F93302B1,CUST_4843,3596.92,GATEWAY_TIMEOUT,0.561,0,18,Mobile,0,0,0,0,0
RP_207A94F0,CUST_8989,524.15,CUSTOMER_ABANDONED,0.865,2,6,Mobile,0,0,0,0,1
RP_A57E2686,CUST_7873,939.47,CUSTOMER_ABANDONED,0.652,0,17,Desktop,0,0,0,1,1
RP_8F25D449,CUST_6675,1650.42,INSUFFICIENT_FUNDS,0.407,0,21,Mobile,0,0,0,0,0
RP_CC096FE3,CUST_1161,4645.51,INSUFFICIENT_FUNDS,0.671,2,17,Desktop,0,0,0,0,0
RP_7081F09C,CUST_5297,2780.84,INSUFFICIENT_FUNDS,0.626,0,5,Mobile,0,0,0,0,0
